"Step","v2_luar_lora - train/loss","v2_luar_lora - train/loss__MIN","v2_luar_lora - train/loss__MAX","v2_luar_frozen_proj - train/loss","v2_luar_frozen_proj - train/loss__MIN","v2_luar_frozen_proj - train/loss__MAX","v2_mpnet_lora_proj - train/loss","v2_mpnet_lora_proj - train/loss__MIN","v2_mpnet_lora_proj - train/loss__MAX","v2_roberta_lora_proj - train/loss","v2_roberta_lora_proj - train/loss__MIN","v2_roberta_lora_proj - train/loss__MAX","v2_mpnet_frozen_proj - train/loss","v2_mpnet_frozen_proj - train/loss__MIN","v2_mpnet_frozen_proj - train/loss__MAX","v2_roberta_frozen_proj - train/loss","v2_roberta_frozen_proj - train/loss__MIN","v2_roberta_frozen_proj - train/loss__MAX"
"0","1.840861988067627","1.840861988067627","1.840861988067627","1.895416271686554","1.8756167888641357","1.915215754508972","5.331967735290528","5.331967735290528","5.331967735290528","4.120308303833008","4.120308303833008","4.120308303833008","5.371417045593262","5.371417045593262","5.371417045593262","4.118086528778076","4.118086528778076","4.118086528778076"
"1","1.918123197555542","1.918123197555542","1.918123197555542","1.7705956816673278","1.7304723978042602","1.8107189655303955","5.435755348205566","5.435755348205566","5.435755348205566","4.132534313201904","4.132534313201904","4.132534313201904","5.255981159210205","5.255981159210205","5.255981159210205","4.130367660522461","4.130367660522461","4.130367660522461"
"2","1.8860861778259277","1.8860861778259277","1.8860861778259277","1.5605983495712281","1.5390402317047118","1.5821564674377442","5.425493240356445","5.425493240356445","5.425493240356445","4.116191482543945","4.116191482543945","4.116191482543945","5.096982192993164","5.096982192993164","5.096982192993164","4.107053756713867","4.107053756713867","4.107053756713867"
"3","1.8317411422729493","1.8317411422729493","1.8317411422729493","1.3191511034965515","1.2892815113067626","1.3490206956863404","5.486809349060058","5.486809349060058","5.486809349060058","4.133635425567627","4.133635425567627","4.133635425567627","4.813628768920898","4.813628768920898","4.813628768920898","4.114418888092041","4.114418888092041","4.114418888092041"
"4","1.8279009342193604","1.8279009342193604","1.8279009342193604","1.0067616403102875","0.9959691882133483","1.0175540924072266","5.3366780281066895","5.3366780281066895","5.3366780281066895","4.130348587036133","4.130348587036133","4.130348587036133","4.594658470153808","4.594658470153808","4.594658470153808","4.1020711898803714","4.1020711898803714","4.1020711898803714"
"5","1.6706614732742309","1.6706614732742309","1.6706614732742309","1.3248387932777406","1.298715102672577","1.350962483882904","5.244651985168457","5.244651985168457","5.244651985168457","4.123127460479736","4.123127460479736","4.123127460479736","4.451711654663086","4.451711654663086","4.451711654663086","4.082958793640136","4.082958793640136","4.082958793640136"
"6","1.6816314935684205","1.6816314935684205","1.6816314935684205","1.066858744621277","1.0146415114402771","1.1190759778022765","5.202780723571777","5.202780723571777","5.202780723571777","4.109414672851562","4.109414672851562","4.109414672851562","4.417384243011474","4.417384243011474","4.417384243011474","4.0181221008300785","4.0181221008300785","4.0181221008300785"
"7","1.5721732139587403","1.5721732139587403","1.5721732139587403","0.9826455801725387","0.9408077239990235","1.024483436346054","5.299082946777344","5.299082946777344","5.299082946777344","4.111619091033935","4.111619091033935","4.111619091033935","4.320612621307373","4.320612621307373","4.320612621307373","4.002190399169922","4.002190399169922","4.002190399169922"
"8","1.5844421625137328","1.5844421625137328","1.5844421625137328","1.0222696542739869","0.9996627330780029","1.0448765754699707","5.219100379943848","5.219100379943848","5.219100379943848","4.11335973739624","4.11335973739624","4.11335973739624","4.296701860427857","4.296701860427857","4.296701860427857","4.021186447143554","4.021186447143554","4.021186447143554"
"9","1.5472214698791504","1.5472214698791504","1.5472214698791504","0.8803582429885864","0.8567802548408509","0.903936231136322","5.104791355133057","5.104791355133057","5.104791355133057","4.103727531433106","4.103727531433106","4.103727531433106","4.207886600494385","4.207886600494385","4.207886600494385","3.9488056182861326","3.9488056182861326","3.9488056182861326"
"10","1.439074742794037","1.439074742794037","1.439074742794037","0.82903773188591","0.8121951818466187","0.8458802819252014","5.0819926261901855","5.0819926261901855","5.0819926261901855","4.085197448730469","4.085197448730469","4.085197448730469","4.160174560546875","4.160174560546875","4.160174560546875","3.9340540409088134","3.9340540409088134","3.9340540409088134"
"11","1.4358740091323852","1.4358740091323852","1.4358740091323852","1.1390821754932405","1.1052706122398377","1.1728937387466432","4.837516117095947","4.837516117095947","4.837516117095947","4.058242130279541","4.058242130279541","4.058242130279541","4.075673532485962","4.075673532485962","4.075673532485962","3.863987588882446","3.863987588882446","3.863987588882446"
"12","1.3155450701713562","1.3155450701713562","1.3155450701713562","1.0123394310474396","1.0070476531982422","1.017631208896637","4.818814277648926","4.818814277648926","4.818814277648926","4.076783180236816","4.076783180236816","4.076783180236816","4.060139846801758","4.060139846801758","4.060139846801758","3.845629262924194","3.845629262924194","3.845629262924194"
"13","1.1142636775970458","1.1142636775970458","1.1142636775970458","0.9259793221950531","0.8925354599952697","0.9594231843948364","4.69693021774292","4.69693021774292","4.69693021774292","4.0538677215576175","4.0538677215576175","4.0538677215576175","4.013165473937988","4.013165473937988","4.013165473937988","3.7778006553649903","3.7778006553649903","3.7778006553649903"
"14","1.206861138343811","1.206861138343811","1.206861138343811","0.8225993454456328","0.7918186545372009","0.8533800363540649","4.578807067871094","4.578807067871094","4.578807067871094","4.001400804519653","4.001400804519653","4.001400804519653","4.072316598892212","4.072316598892212","4.072316598892212","3.829816961288452","3.829816961288452","3.829816961288452"
"15","0.9035535335540772","0.9035535335540772","0.9035535335540772","0.48922262489795687","0.42263069152832033","0.5558145582675934","4.390167236328125","4.390167236328125","4.390167236328125","4.044132566452026","4.044132566452026","4.044132566452026","4.047266864776612","4.047266864776612","4.047266864776612","3.7870009899139405","3.7870009899139405","3.7870009899139405"
"16","1.0539739847183227","1.0539739847183227","1.0539739847183227","0.7442004680633545","0.70259810090065","0.785802835226059","4.3078876495361325","4.3078876495361325","4.3078876495361325","3.9926866054534913","3.9926866054534913","3.9926866054534913","4.065962314605713","4.065962314605713","4.065962314605713","3.778555917739868","3.778555917739868","3.778555917739868"
"17","0.8931115388870239","0.8931115388870239","0.8931115388870239","0.554316395521164","0.42453473806381226","0.6840980529785157","4.190908527374267","4.190908527374267","4.190908527374267","3.9515099048614504","3.9515099048614504","3.9515099048614504","3.9801144123077394","3.9801144123077394","3.9801144123077394","3.725802421569824","3.725802421569824","3.725802421569824"
"18","1.1237572073936462","1.1237572073936462","1.1237572073936462","0.8645122975111008","0.7875430226325989","0.9414815723896026","4.143612670898437","4.143612670898437","4.143612670898437","3.9489784717559813","3.9489784717559813","3.9489784717559813","4.029766368865967","4.029766368865967","4.029766368865967","3.79104962348938","3.79104962348938","3.79104962348938"
"19","0.8530843555927277","0.8530843555927277","0.8530843555927277","0.576260694861412","0.5169881939888","0.635533195734024","4.027954149246216","4.027954149246216","4.027954149246216","3.8521516799926756","3.8521516799926756","3.8521516799926756","3.9419765949249266","3.9419765949249266","3.9419765949249266","3.6996921062469483","3.6996921062469483","3.6996921062469483"
